population,l,w,h,w/l,h/l,w/h,bg,rpclass,rpcolor,periostracum
Sasyk 2013,17.88,5.96,10.72,0.3333,0.5996,0.5560,white,A0,NA,absent
Sasyk 2013,18.48,6.77,11.99,0.3663,0.6488,0.5646,white,A0,NA,partial
Sasyk 2013,15.89,5.81,10.94,0.3656,0.6885,0.5311,white,A0,NA,full
Sasyk 2013,15.35,5.14,9.46,0.3349,0.6163,0.5433,white,A1,black,partial
Sasyk 2013,15.32,4.80,9.33,0.3133,0.6090,0.5145,white,A0,NA,partial
Sasyk 2013,16.14,5.17,9.85,0.3203,0.6103,0.5249,white,A0,NA,partial
Sasyk 2013,19.03,6.77,12.74,0.3558,0.6695,0.5314,white,A0,NA,absent
Sasyk 2013,16.59,6.16,10.86,0.3713,0.6546,0.5672,white,A0,NA,partial
Sasyk 2013,19.02,6.15,11.32,0.3233,0.5952,0.5433,white,A0,NA,full
Sasyk 2013,16.99,5.44,9.49,0.3202,0.5586,0.5732,gray,A0,NA,partial
Sasyk 2013,14.53,4.59,8.74,0.3159,0.6015,0.5252,white,A0,NA,partial
Sasyk 2013,15.77,5.76,9.96,0.3653,0.6316,0.5783,white,A1,black,partial
Sasyk 2013,13.87,4.60,8.38,0.3317,0.6042,0.5489,purple,A0,NA,partial
Sasyk 2013,19.83,6.67,13.02,0.3364,0.6566,0.5123,white,A1,black,partial
Sasyk 2013,15.71,5.77,10.18,0.3673,0.6480,0.5668,white,A1,brown,full
Sasyk 2013,17.50,6.33,11.74,0.3617,0.6709,0.5392,white&gray,A0,NA,partial
Sasyk 2013,19.26,6.67,11.83,0.3463,0.6142,0.5638,white&gray,B0a,black,partial
Sasyk 2013,18.06,6.97,12.32,0.3859,0.6822,0.5657,white,A0,NA,partial
Sasyk 2013,15.25,4.50,8.92,0.2951,0.5849,0.5045,gray,A0,NA,absent
Sasyk 2013,15.87,4.90,9.68,0.3088,0.6100,0.5062,white,A0,NA,partial
Sasyk 2013,15.68,4.91,9.39,0.3131,0.5989,0.5229,white,A0,NA,partial
Sasyk 2013,15.49,4.81,9.03,0.3105,0.5830,0.5327,white,A0,NA,full
Sasyk 2013,15.87,4.88,9.72,0.3075,0.6125,0.5021,white,A0,NA,partial
Sasyk 2013,16.88,5.07,10.30,0.3004,0.6102,0.4922,white,B1a,black,full
Sasyk 2013,19.13,6.03,12.50,0.3152,0.6534,0.4824,white,A0,NA,absent
Sasyk 2013,18.81,6.69,11.84,0.3557,0.6295,0.5650,white,A0,NA,absent
